Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
335,2025-10-04 11:30,Saturday,Weekend,Rainy,None,None,None,High,18,89
336,2025-10-04 11:45,Saturday,Weekend,Clear,None,None,None,Medium,5,58
337,2025-10-04 12:00,Saturday,Weekend,Light Rain,None,None,None,Medium,8,41
338,2025-10-04 12:15,Saturday,Weekend,Light Rain,None,None,None,Medium,10,59
339,2025-10-04 12:30,Saturday,Weekend,Clear,None,None,None,High,17,96
340,2025-10-04 12:45,Saturday,Weekend,Clear,None,None,None,High,20,91
341,2025-10-04 13:00,Saturday,Weekend,Clear,None,None,None,Medium,10,48
342,2025-10-04 13:15,Saturday,Weekend,Cloudy,None,None,None,Medium,7,65
343,2025-10-04 13:30,Saturday,Weekend,Clear,None,None,None,High,12,82
344,2025-10-04 13:45,Saturday,Weekend,Clear,None,None,None,High,17,115
345,2025-10-04 14:00,Saturday,Weekend,Clear,None,None,None,Medium,7,50
346,2025-10-04 14:15,Saturday,Weekend,Rainy,None,None,None,High,23,82
347,2025-10-04 14:30,Saturday,Weekend,Clear,None,None,None,Medium,8,63
348,2025-10-04 14:45,Saturday,Weekend,Cloudy,None,None,None,Medium,10,65
349,2025-10-04 15:00,Saturday,Weekend,Clear,None,None,None,High,25,91
350,2025-10-04 15:15,Saturday,Weekend,Sunny,None,None,None,Medium,10,52
351,2025-10-04 15:30,Saturday,Weekend,Clear,None,None,None,Medium,6,59
352,2025-10-04 15:45,Saturday,Weekend,Clear,None,None,None,Medium,5,54
353,2025-10-04 16:00,Saturday,Weekend,Clear,None,None,None,High,25,85
354,2025-10-04 16:15,Saturday,Weekend,Rainy,None,None,None,High,15,77
355,2025-10-04 16:30,Saturday,Weekend,Clear,None,None,None,Medium,10,46
356,2025-10-04 16:45,Saturday,Weekend,Sunny,None,None,None,High,11,83
357,2025-10-04 17:00,Saturday,Weekend,Light Rain,None,None,None,Medium,6,61
358,2025-10-04 17:15,Saturday,Weekend,Sunny,None,None,None,Medium,10,57
359,2025-10-04 17:30,Saturday,Weekend,Clear,None,None,None,Medium,7,60
360,2025-10-04 17:45,Saturday,Weekend,Clear,None,None,None,High,13,85
361,2025-10-04 18:00,Saturday,Weekend,Cloudy,None,None,None,Medium,9,69
362,2025-10-04 18:15,Saturday,Weekend,Cloudy,None,None,None,Medium,10,40
363,2025-10-04 18:30,Saturday,Weekend,Sunny,None,None,None,High,10,108
364,2025-10-04 18:45,Saturday,Weekend,Light Rain,None,None,None,Medium,6,50
365,2025-10-04 19:00,Saturday,Weekend,Clear,None,None,None,High,20,108
366,2025-10-04 19:15,Saturday,Weekend,Clear,None,None,None,Medium,10,46
367,2025-10-04 19:30,Saturday,Weekend,Light Rain,None,None,None,Medium,9,44
368,2025-10-04 19:45,Saturday,Weekend,Clear,None,None,None,Medium,7,67
369,2025-10-04 20:00,Saturday,Weekend,Clear,None,None,None,High,12,79
370,2025-10-04 20:15,Saturday,Weekend,Light Rain,None,None,None,Medium,9,40
371,2025-10-04 20:30,Saturday,Weekend,Cloudy,None,None,None,Medium,5,57
372,2025-10-04 20:45,Saturday,Weekend,Light Rain,None,None,None,Medium,5,52
373,2025-10-04 21:00,Saturday,Weekend,Clear,None,None,None,Medium,8,68
374,2025-10-04 21:15,Saturday,Weekend,Clear,None,None,None,Medium,8,65
375,2025-10-04 21:30,Saturday,Weekend,Rainy,None,None,None,High,18,115
376,2025-10-04 21:45,Saturday,Weekend,Clear,None,None,None,High,15,111
377,2025-10-04 22:00,Saturday,Weekend,Light Rain,None,None,None,Medium,6,58
378,2025-10-04 22:15,Saturday,Weekend,Light Rain,None,None,None,Low,1,36
379,2025-10-04 22:30,Saturday,Weekend,Light Rain,None,None,None,Medium,5,52
380,2025-10-04 22:45,Saturday,Weekend,Clear,None,None,None,Low,2,39
381,2025-10-04 23:00,Saturday,Weekend,Clear,None,None,None,Medium,7,66
382,2025-10-04 23:15,Saturday,Weekend,Cloudy,None,None,None,Medium,6,60
383,2025-10-04 23:30,Saturday,Weekend,Cloudy,None,None,None,Medium,9,59
384,2025-10-04 23:45,Saturday,Weekend,Clear,None,None,None,Medium,7,69
385,2025-10-05 00:00,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,3,37
386,2025-10-05 00:15,Sunday,Weekend,Clear,None,None,Ongoing,Medium,10,46
387,2025-10-05 00:30,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,4,21
388,2025-10-05 00:45,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,8,69
389,2025-10-05 01:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,9,69
390,2025-10-05 01:15,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,6,56
391,2025-10-05 01:30,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,6,42
392,2025-10-05 01:45,Sunday,Weekend,Rainy,None,None,Ongoing,Medium,9,63
393,2025-10-05 02:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,7,61
394,2025-10-05 02:15,Sunday,Weekend,Clear,None,None,Ongoing,Low,5,39
395,2025-10-05 02:30,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,10,63
396,2025-10-05 02:45,Sunday,Weekend,Clear,None,None,Ongoing,Low,3,27
397,2025-10-05 03:00,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,8,66
398,2025-10-05 03:15,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,7,65
399,2025-10-05 03:30,Sunday,Weekend,Sunny,None,None,Ongoing,Low,0,38
400,2025-10-05 03:45,Sunday,Weekend,Clear,None,None,Ongoing,Low,3,34
401,2025-10-05 04:00,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,8,60
402,2025-10-05 04:15,Sunday,Weekend,Clear,None,None,Ongoing,Low,3,40
403,2025-10-05 04:30,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,10,48
404,2025-10-05 04:45,Sunday,Weekend,Rainy,None,None,Ongoing,Low,2,40
405,2025-10-05 05:00,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,1,28
406,2025-10-05 05:15,Sunday,Weekend,Clear,None,None,Ongoing,Low,3,23
407,2025-10-05 05:30,Sunday,Weekend,Rainy,None,None,Ongoing,Medium,7,54
408,2025-10-05 05:45,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,6,42
409,2025-10-05 06:00,Sunday,Weekend,Rainy,None,None,Ongoing,Medium,7,52
410,2025-10-05 06:15,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,7,61
411,2025-10-05 06:30,Sunday,Weekend,Clear,None,None,Ongoing,Low,1,39
412,2025-10-05 06:45,Sunday,Weekend,Clear,None,None,Ongoing,Medium,5,42
413,2025-10-05 07:00,Sunday,Weekend,Clear,None,None,Ongoing,Low,5,33
414,2025-10-05 07:15,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,6,69
415,2025-10-05 07:30,Sunday,Weekend,Rainy,None,None,Ongoing,Medium,5,60
416,2025-10-05 07:45,Sunday,Weekend,Sunny,None,None,Ongoing,Low,4,32
417,2025-10-05 08:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,9,57
418,2025-10-05 08:15,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,9,62
419,2025-10-05 08:30,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,3,21
420,2025-10-05 08:45,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,10,59
421,2025-10-05 09:00,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,4,20
422,2025-10-05 09:15,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,5,36
423,2025-10-05 09:30,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,1,30
424,2025-10-05 09:45,Sunday,Weekend,Clear,None,None,Ongoing,Low,3,36
425,2025-10-05 10:00,Sunday,Weekend,Sunny,None,None,Ongoing,High,25,116
426,2025-10-05 10:15,Sunday,Weekend,Clear,None,None,Ongoing,High,15,104
427,2025-10-05 10:30,Sunday,Weekend,Cloudy,None,None,Ongoing,High,21,84
428,2025-10-05 10:45,Sunday,Weekend,Sunny,None,None,Ongoing,High,24,112
429,2025-10-05 11:00,Sunday,Weekend,Cloudy,None,None,Ongoing,High,12,116
430,2025-10-05 11:15,Sunday,Weekend,Clear,None,None,Ongoing,High,21,103
431,2025-10-05 11:30,Sunday,Weekend,Light Rain,None,None,Ongoing,High,10,117
432,2025-10-05 11:45,Sunday,Weekend,Light Rain,None,None,Ongoing,High,25,77
433,2025-10-05 12:00,Sunday,Weekend,Clear,None,None,Ongoing,High,18,75
434,2025-10-05 12:15,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,10,62
435,2025-10-05 12:30,Sunday,Weekend,Clear,None,None,Ongoing,Medium,5,62
436,2025-10-05 12:45,Sunday,Weekend,Clear,None,None,Ongoing,Medium,7,65
437,2025-10-05 13:00,Sunday,Weekend,Light Rain,None,None,Ongoing,High,18,117
438,2025-10-05 13:15,Sunday,Weekend,Clear,None,None,Ongoing,Medium,9,44
439,2025-10-05 13:30,Sunday,Weekend,Clear,None,None,Ongoing,Medium,9,69
440,2025-10-05 13:45,Sunday,Weekend,Clear,None,None,Ongoing,High,23,110
441,2025-10-05 14:00,Sunday,Weekend,Sunny,None,None,Ongoing,High,10,80
442,2025-10-05 14:15,Sunday,Weekend,Clear,None,None,Ongoing,Medium,10,42
443,2025-10-05 14:30,Sunday,Weekend,Clear,None,None,Ongoing,High,17,77
444,2025-10-05 14:45,Sunday,Weekend,Cloudy,None,None,Ongoing,High,18,98
445,2025-10-05 15:00,Sunday,Weekend,Clear,None,None,Ongoing,High,25,89
446,2025-10-05 15:15,Sunday,Weekend,Sunny,None,None,Ongoing,High,13,101
447,2025-10-05 15:30,Sunday,Weekend,Clear,None,None,Ongoing,Medium,10,47
448,2025-10-05 15:45,Sunday,Weekend,Light Rain,None,None,Ongoing,High,24,102
449,2025-10-05 16:00,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,8,59
450,2025-10-05 16:15,Sunday,Weekend,Clear,None,None,Ongoing,Medium,6,66
451,2025-10-05 16:30,Sunday,Weekend,Clear,None,None,Ongoing,High,18,116
452,2025-10-05 16:45,Sunday,Weekend,Cloudy,None,None,Ongoing,Medium,9,47
453,2025-10-05 17:00,Sunday,Weekend,Cloudy,None,None,Ongoing,High,19,100
454,2025-10-05 17:15,Sunday,Weekend,Sunny,None,None,Ongoing,High,11,80
455,2025-10-05 17:30,Sunday,Weekend,Clear,None,None,Ongoing,High,21,77
456,2025-10-05 17:45,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,6,51
457,2025-10-05 18:00,Sunday,Weekend,Clear,None,None,Ongoing,High,17,100
458,2025-10-05 18:15,Sunday,Weekend,Clear,None,None,Ongoing,High,10,114
459,2025-10-05 18:30,Sunday,Weekend,Rainy,None,None,Ongoing,High,19,87
460,2025-10-05 18:45,Sunday,Weekend,Clear,None,None,Ongoing,High,11,87
461,2025-10-05 19:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,10,65
462,2025-10-05 19:15,Sunday,Weekend,Rainy,None,None,Ongoing,Medium,8,40
463,2025-10-05 19:30,Sunday,Weekend,Cloudy,None,None,Ongoing,High,23,80
464,2025-10-05 19:45,Sunday,Weekend,Clear,None,None,Ongoing,Medium,10,57
465,2025-10-05 20:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,5,53
466,2025-10-05 20:15,Sunday,Weekend,Sunny,None,None,Ongoing,High,14,74
467,2025-10-05 20:30,Sunday,Weekend,Light Rain,None,None,Ongoing,Medium,8,63
468,2025-10-05 20:45,Sunday,Weekend,Sunny,None,None,Ongoing,High,10,71
469,2025-10-05 21:00,Sunday,Weekend,Light Rain,None,None,Ongoing,High,12,110
470,2025-10-05 21:15,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,9,50
471,2025-10-05 21:30,Sunday,Weekend,Clear,None,None,Ongoing,Medium,9,51
472,2025-10-05 21:45,Sunday,Weekend,Sunny,None,None,Ongoing,Medium,5,67
473,2025-10-05 22:00,Sunday,Weekend,Light Rain,None,None,Ongoing,Low,0,38
474,2025-10-05 22:15,Sunday,Weekend,Clear,None,None,Ongoing,Medium,8,70
475,2025-10-05 22:30,Sunday,Weekend,Clear,None,None,Ongoing,Medium,7,54
476,2025-10-05 22:45,Sunday,Weekend,Clear,None,None,Ongoing,Low,1,37
477,2025-10-05 23:00,Sunday,Weekend,Clear,None,None,Ongoing,Medium,6,48
478,2025-10-05 23:15,Sunday,Weekend,Sunny,None,None,Ongoing,Low,2,23
479,2025-10-05 23:30,Sunday,Weekend,Sunny,None,None,Ongoing,Low,5,32
480,2025-10-05 23:45,Sunday,Weekend,Clear,None,None,Ongoing,Medium,7,65
481,2025-10-06 00:00,Monday,Weekday,Clear,None,None,Ongoing,Medium,10,49
482,2025-10-06 00:15,Monday,Weekday,Cloudy,None,None,Ongoing,Low,1,22
483,2025-10-06 00:30,Monday,Weekday,Sunny,None,None,Ongoing,Medium,6,53
484,2025-10-06 00:45,Monday,Weekday,Light Rain,None,None,Ongoing,Medium,5,65
485,2025-10-06 01:00,Monday,Weekday,Clear,None,None,Ongoing,Medium,10,61
486,2025-10-06 01:15,Monday,Weekday,Light Rain,None,None,Ongoing,Low,5,31
487,2025-10-06 01:30,Monday,Weekday,Light Rain,None,None,Ongoing,Low,2,20
488,2025-10-06 01:45,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,7,68
489,2025-10-06 02:00,Monday,Weekday,Clear,None,None,Ongoing,Medium,7,52
490,2025-10-06 02:15,Monday,Weekday,Cloudy,None,None,Ongoing,Low,4,21
491,2025-10-06 02:30,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,7,44
492,2025-10-06 02:45,Monday,Weekday,Clear,None,None,Ongoing,Low,4,27
493,2025-10-06 03:00,Monday,Weekday,Cloudy,None,None,Ongoing,Low,4,39
494,2025-10-06 03:15,Monday,Weekday,Clear,None,None,Ongoing,Low,2,21
495,2025-10-06 03:30,Monday,Weekday,Sunny,None,None,Ongoing,Low,2,33
496,2025-10-06 03:45,Monday,Weekday,Clear,None,None,Ongoing,Low,2,30
497,2025-10-06 04:00,Monday,Weekday,Clear,None,None,Ongoing,Low,0,40
498,2025-10-06 04:15,Monday,Weekday,Sunny,None,None,Ongoing,Medium,5,42
499,2025-10-06 04:30,Monday,Weekday,Sunny,None,None,Ongoing,Low,2,30
500,2025-10-06 04:45,Monday,Weekday,Rainy,None,None,Ongoing,Low,3,36
501,2025-10-06 05:00,Monday,Weekday,Clear,None,None,Ongoing,Low,5,32
502,2025-10-06 05:15,Monday,Weekday,Clear,None,None,Ongoing,Medium,9,46
503,2025-10-06 05:30,Monday,Weekday,Clear,None,None,Ongoing,Medium,8,68
504,2025-10-06 05:45,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,9,64
505,2025-10-06 06:00,Monday,Weekday,Light Rain,None,None,Ongoing,Low,2,40
506,2025-10-06 06:15,Monday,Weekday,Clear,None,None,Ongoing,Low,0,27
507,2025-10-06 06:30,Monday,Weekday,Rainy,None,None,Ongoing,Low,2,20
508,2025-10-06 06:45,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,5,64
509,2025-10-06 07:00,Monday,Weekday,Clear,None,None,Ongoing,Low,4,24
510,2025-10-06 07:15,Monday,Weekday,Clear,None,None,Ongoing,Low,3,35
511,2025-10-06 07:30,Monday,Weekday,Clear,None,None,Ongoing,Low,3,30
512,2025-10-06 07:45,Monday,Weekday,Light Rain,None,None,Ongoing,Medium,8,52
513,2025-10-06 08:00,Monday,Weekday,Cloudy,None,None,Ongoing,High,10,86
514,2025-10-06 08:15,Monday,Weekday,Clear,None,None,Ongoing,High,24,96
515,2025-10-06 08:30,Monday,Weekday,Clear,None,None,Ongoing,Very High,25,192
516,2025-10-06 08:45,Monday,Weekday,Cloudy,None,None,Ongoing,High,24,77
517,2025-10-06 09:00,Monday,Weekday,Cloudy,None,None,Ongoing,Very High,40,199
518,2025-10-06 09:15,Monday,Weekday,Sunny,None,None,Ongoing,High,23,79
519,2025-10-06 09:30,Monday,Weekday,Clear,None,None,Ongoing,Very High,29,194
520,2025-10-06 09:45,Monday,Weekday,Clear,None,None,Ongoing,Very High,34,196
521,2025-10-06 10:00,Monday,Weekday,Rainy,None,None,Ongoing,High,21,106
522,2025-10-06 10:15,Monday,Weekday,Clear,None,None,Ongoing,High,25,72
523,2025-10-06 10:30,Monday,Weekday,Cloudy,None,None,Ongoing,High,23,76
524,2025-10-06 10:45,Monday,Weekday,Light Rain,None,None,Ongoing,High,25,109
525,2025-10-06 11:00,Monday,Weekday,Cloudy,None,None,Ongoing,Low,4,24
526,2025-10-06 11:15,Monday,Weekday,Clear,None,None,Ongoing,Medium,6,52
527,2025-10-06 11:30,Monday,Weekday,Cloudy,None,None,Ongoing,Low,0,23
528,2025-10-06 11:45,Monday,Weekday,Sunny,None,None,Ongoing,Low,5,26
529,2025-10-06 12:00,Monday,Weekday,Cloudy,None,None,Ongoing,Low,1,24
530,2025-10-06 12:15,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,8,58
531,2025-10-06 12:30,Monday,Weekday,Clear,None,None,Ongoing,Medium,7,62
532,2025-10-06 12:45,Monday,Weekday,Clear,None,None,Ongoing,Medium,9,57
533,2025-10-06 13:00,Monday,Weekday,Clear,None,None,Ongoing,Medium,8,58
534,2025-10-06 13:15,Monday,Weekday,Light Rain,None,None,Ongoing,Medium,7,68
535,2025-10-06 13:30,Monday,Weekday,Rainy,None,None,Ongoing,Low,3,34
536,2025-10-06 13:45,Monday,Weekday,Clear,None,None,Ongoing,Low,1,27
537,2025-10-06 14:00,Monday,Weekday,Clear,None,None,Ongoing,Low,2,21
538,2025-10-06 14:15,Monday,Weekday,Light Rain,None,None,Ongoing,Low,4,31
539,2025-10-06 14:30,Monday,Weekday,Light Rain,None,None,Ongoing,Low,4,27
540,2025-10-06 14:45,Monday,Weekday,Clear,None,None,Ongoing,Medium,8,65
541,2025-10-06 15:00,Monday,Weekday,Light Rain,None,None,Ongoing,Low,1,30
542,2025-10-06 15:15,Monday,Weekday,Clear,None,None,Ongoing,Medium,9,55
543,2025-10-06 15:30,Monday,Weekday,Rainy,None,None,Ongoing,Medium,5,44
544,2025-10-06 15:45,Monday,Weekday,Cloudy,None,None,Ongoing,Low,3,26
545,2025-10-06 16:00,Monday,Weekday,Clear,None,None,Ongoing,Medium,8,68
546,2025-10-06 16:15,Monday,Weekday,Clear,None,None,Ongoing,Medium,10,63
547,2025-10-06 16:30,Monday,Weekday,Clear,None,None,Ongoing,Medium,6,58
548,2025-10-06 16:45,Monday,Weekday,Rainy,None,None,Ongoing,Medium,5,54
549,2025-10-06 17:00,Monday,Weekday,Clear,None,None,Ongoing,Very High,30,199
550,2025-10-06 17:15,Monday,Weekday,Clear,None,None,Ongoing,High,25,83
551,2025-10-06 17:30,Monday,Weekday,Rainy,None,None,Ongoing,High,17,75
552,2025-10-06 17:45,Monday,Weekday,Rainy,None,None,Ongoing,Very High,30,192
553,2025-10-06 18:00,Monday,Weekday,Clear,None,None,Ongoing,Very High,25,187
554,2025-10-06 18:15,Monday,Weekday,Cloudy,None,None,Ongoing,High,21,108
555,2025-10-06 18:30,Monday,Weekday,Cloudy,None,None,Ongoing,High,19,70
556,2025-10-06 18:45,Monday,Weekday,Clear,None,None,Ongoing,Very High,43,133
557,2025-10-06 19:00,Monday,Weekday,Cloudy,None,None,Ongoing,High,11,90
558,2025-10-06 19:15,Monday,Weekday,Rainy,None,None,Ongoing,High,12,78
559,2025-10-06 19:30,Monday,Weekday,Clear,None,None,Ongoing,Very High,42,188
560,2025-10-06 19:45,Monday,Weekday,Cloudy,None,None,Ongoing,Very High,41,155
561,2025-10-06 20:00,Monday,Weekday,Clear,None,None,Ongoing,High,20,100
562,2025-10-06 20:15,Monday,Weekday,Sunny,None,None,Ongoing,High,22,80
563,2025-10-06 20:30,Monday,Weekday,Clear,None,None,Ongoing,High,15,117
564,2025-10-06 20:45,Monday,Weekday,Clear,None,None,Ongoing,High,10,117
565,2025-10-06 21:00,Monday,Weekday,Light Rain,None,None,Ongoing,Low,1,35
566,2025-10-06 21:15,Monday,Weekday,Clear,None,None,Ongoing,Low,3,20
567,2025-10-06 21:30,Monday,Weekday,Clear,None,None,Ongoing,Low,3,40
568,2025-10-06 21:45,Monday,Weekday,Clear,None,None,Ongoing,Medium,10,51
569,2025-10-06 22:00,Monday,Weekday,Light Rain,None,None,Ongoing,Low,2,37
570,2025-10-06 22:15,Monday,Weekday,Cloudy,None,None,Ongoing,Low,4,38
571,2025-10-06 22:30,Monday,Weekday,Rainy,None,None,Ongoing,Medium,10,68
572,2025-10-06 22:45,Monday,Weekday,Sunny,None,None,Ongoing,Medium,6,42
573,2025-10-06 23:00,Monday,Weekday,Clear,None,None,Ongoing,Low,0,30
574,2025-10-06 23:15,Monday,Weekday,Sunny,None,None,Ongoing,Low,3,30
575,2025-10-06 23:30,Monday,Weekday,Cloudy,None,None,Ongoing,Medium,10,69
576,2025-10-06 23:45,Monday,Weekday,Clear,None,None,Ongoing,Low,1,36
577,2025-10-07 00:00,Tuesday,Weekday,Clear,None,None,None,Low,0,36
578,2025-10-07 00:15,Tuesday,Weekday,Cloudy,None,None,None,Low,1,31
579,2025-10-07 00:30,Tuesday,Weekday,Cloudy,None,None,None,Medium,7,70
580,2025-10-07 00:45,Tuesday,Weekday,Light Rain,None,None,None,Medium,5,57
581,2025-10-07 01:00,Tuesday,Weekday,Light Rain,None,None,None,Low,5,24
582,2025-10-07 01:15,Tuesday,Weekday,Clear,None,None,None,Low,3,31
583,2025-10-07 01:30,Tuesday,Weekday,Rainy,None,None,None,Medium,5,48
584,2025-10-07 01:45,Tuesday,Weekday,Sunny,None,None,None,Low,0,32
585,2025-10-07 02:00,Tuesday,Weekday,Rainy,None,None,None,Medium,7,44
586,2025-10-07 02:15,Tuesday,Weekday,Clear,None,None,None,Low,5,34
587,2025-10-07 02:30,Tuesday,Weekday,Clear,None,None,None,Medium,6,56
588,2025-10-07 02:45,Tuesday,Weekday,Clear,None,None,None,Medium,7,50
589,2025-10-07 03:00,Tuesday,Weekday,Rainy,None,None,None,Low,4,39
590,2025-10-07 03:15,Tuesday,Weekday,Light Rain,None,None,None,Low,0,23
591,2025-10-07 03:30,Tuesday,Weekday,Cloudy,None,None,None,Low,1,36
592,2025-10-07 03:45,Tuesday,Weekday,Clear,None,None,None,Medium,10,53
593,2025-10-07 04:00,Tuesday,Weekday,Clear,None,None,None,Low,1,28
594,2025-10-07 04:15,Tuesday,Weekday,Sunny,None,None,None,Medium,6,56
595,2025-10-07 04:30,Tuesday,Weekday,Clear,None,None,None,Medium,9,58
596,2025-10-07 04:45,Tuesday,Weekday,Clear,None,None,None,Medium,9,69
597,2025-10-07 05:00,Tuesday,Weekday,Light Rain,None,None,None,Medium,9,46
598,2025-10-07 05:15,Tuesday,Weekday,Rainy,None,None,None,Low,3,36
599,2025-10-07 05:30,Tuesday,Weekday,Clear,None,None,None,Low,5,27
600,2025-10-07 05:45,Tuesday,Weekday,Cloudy,None,None,None,Medium,8,58
601,2025-10-07 06:00,Tuesday,Weekday,Cloudy,None,None,None,Low,5,31
602,2025-10-07 06:15,Tuesday,Weekday,Clear,None,None,None,Low,5,39
603,2025-10-07 06:30,Tuesday,Weekday,Light Rain,None,None,None,Low,4,34
604,2025-10-07 06:45,Tuesday,Weekday,Clear,None,None,None,Low,5,22
605,2025-10-07 07:00,Tuesday,Weekday,Cloudy,None,None,None,Low,5,34
606,2025-10-07 07:15,Tuesday,Weekday,Clear,None,None,None,Medium,9,41
607,2025-10-07 07:30,Tuesday,Weekday,Clear,None,None,None,Low,5,40
608,2025-10-07 07:45,Tuesday,Weekday,Cloudy,None,None,None,Low,2,25
609,2025-10-07 08:00,Tuesday,Weekday,Sunny,None,None,None,Very High,39,184
610,2025-10-07 08:15,Tuesday,Weekday,Sunny,None,None,None,High,24,70
611,2025-10-07 08:30,Tuesday,Weekday,Clear,None,None,None,Very High,28,161
612,2025-10-07 08:45,Tuesday,Weekday,Light Rain,None,None,None,Very High,30,147
613,2025-10-07 09:00,Tuesday,Weekday,Sunny,None,None,None,High,20,112
614,2025-10-07 09:15,Tuesday,Weekday,Light Rain,None,None,None,High,12,79
615,2025-10-07 09:30,Tuesday,Weekday,Rainy,None,None,None,Very High,36,142
616,2025-10-07 09:45,Tuesday,Weekday,Light Rain,None,None,None,Very High,32,132
617,2025-10-07 10:00,Tuesday,Weekday,Rainy,None,None,None,Very High,27,140
618,2025-10-07 10:15,Tuesday,Weekday,Rainy,None,None,None,High,18,76
619,2025-10-07 10:30,Tuesday,Weekday,Clear,None,None,None,High,13,78
620,2025-10-07 10:45,Tuesday,Weekday,Light Rain,None,None,None,Very High,42,146
621,2025-10-07 11:00,Tuesday,Weekday,Clear,None,None,None,Low,2,37
622,2025-10-07 11:15,Tuesday,Weekday,Cloudy,None,None,None,Low,5,31
623,2025-10-07 11:30,Tuesday,Weekday,Cloudy,None,None,None,Low,3,31
624,2025-10-07 11:45,Tuesday,Weekday,Clear,None,None,None,Low,5,40
625,2025-10-07 12:00,Tuesday,Weekday,Clear,None,None,None,Low,2,21
626,2025-10-07 12:15,Tuesday,Weekday,Sunny,None,None,None,Low,2,31
627,2025-10-07 12:30,Tuesday,Weekday,Cloudy,None,None,None,Medium,9,47
628,2025-10-07 12:45,Tuesday,Weekday,Sunny,None,None,None,Medium,5,58
629,2025-10-07 13:00,Tuesday,Weekday,Cloudy,None,None,None,Low,1,28
